Date,Open,High,Low,Close,Adj Close,Volume
12/21/1990,2.484375,2.515625,2.484375,2.5,1.335378,980000
12/24/1990,2.5,2.546875,2.5,2.546875,1.360416,222400
12/26/1990,2.5625,2.75,2.5625,2.75,1.468915,93600
12/27/1990,2.75,2.75,2.71875,2.734375,1.460569,51200
12/28/1990,2.71875,2.71875,2.65625,2.65625,1.418839,49600
12/31/1990,2.65625,2.65625,2.53125,2.65625,1.418839,364800
1/2/1991,2.625,2.625,2.59375,2.59375,1.385454,36000
1/3/1991,2.59375,2.59375,2.484375,2.484375,1.327032,413600
1/4/1991,2.4375,2.4375,2.328125,2.328125,1.24357,216800
1/7/1991,2.296875,2.3125,2.21875,2.265625,1.210186,599200
1/8/1991,2.25,2.265625,2.15625,2.15625,1.151763,679200
1/9/1991,2.171875,2.1875,2.140625,2.140625,1.170561,572000
1/10/1991,2.125,2.140625,2.09375,2.140625,1.170561,296000
1/11/1991,2.109375,2.21875,2.109375,2.21875,1.213282,278400
1/14/1991,2.234375,2.265625,2.21875,2.25,1.23037,172800
1/15/1991,2.25,2.25,2.171875,2.234375,1.221827,92800
1/16/1991,2.234375,2.25,2.171875,2.203125,1.204738,50400
1/17/1991,2.1875,2.25,2.03125,2.203125,1.204738,1341600
1/18/1991,2.203125,2.21875,2.15625,2.1875,1.196193,275200
1/21/1991,2.15625,2.15625,2.0625,2.125,1.162016,550400
1/22/1991,2.15625,2.171875,2.125,2.125,1.162016,174400
1/23/1991,2.140625,2.265625,2.140625,2.25,1.23037,837600
1/24/1991,2.3125,2.34375,2.265625,2.28125,1.247458,495200
1/25/1991,2.3125,2.375,2.21875,2.25,1.23037,817600
1/28/1991,2.28125,2.296875,2.203125,2.234375,1.221827,679200
1/29/1991,2.25,2.265625,2.25,2.25,1.23037,99200
1/30/1991,2.21875,2.25,2.203125,2.234375,1.221827,132000
1/31/1991,2.21875,2.21875,2.15625,2.171875,1.187649,384800
2/1/1991,2.15625,2.21875,2.15625,2.21875,1.213282,869600
2/4/1991,2.21875,2.28125,2.203125,2.25,1.23037,961600
2/5/1991,2.25,2.375,2.25,2.28125,1.247458,1217600
2/6/1991,2.28125,2.5,2.28125,2.484375,1.358534,1186400
2/7/1991,2.546875,2.78125,2.546875,2.6875,1.469609,1224000
2/8/1991,2.65625,2.6875,2.640625,2.671875,1.461065,94400
2/11/1991,2.6875,2.75,2.640625,2.703125,1.478153,307200
2/12/1991,2.734375,2.734375,2.59375,2.59375,1.418344,216000
2/13/1991,2.625,2.703125,2.625,2.703125,1.478153,45600
2/14/1991,2.6875,2.6875,2.515625,2.515625,1.375623,148800
2/15/1991,2.484375,2.609375,2.484375,2.609375,1.426888,356800
2/19/1991,2.59375,2.59375,2.515625,2.546875,1.392711,160800
2/20/1991,2.546875,2.625,2.515625,2.625,1.435432,219200
2/21/1991,2.609375,2.625,2.59375,2.59375,1.418344,188000
2/22/1991,2.59375,2.59375,2.453125,2.453125,1.341445,408000
2/25/1991,2.453125,2.453125,2.328125,2.328125,1.273091,88800
2/26/1991,2.3125,2.328125,2.265625,2.3125,1.264547,776800
2/27/1991,2.34375,2.453125,2.34375,2.4375,1.332901,1544000
2/28/1991,2.46875,2.59375,2.453125,2.59375,1.418344,578400
3/1/1991,2.59375,2.59375,2.53125,2.546875,1.392711,692800
3/4/1991,2.546875,2.609375,2.546875,2.59375,1.418344,555200
3/5/1991,2.5625,2.578125,2.5625,2.578125,1.409799,418400
3/6/1991,2.546875,2.59375,2.546875,2.5625,1.401255,180800
3/7/1991,2.5625,2.625,2.5625,2.625,1.435432,280800
3/8/1991,2.625,2.78125,2.59375,2.671875,1.461065,442400
3/11/1991,2.6875,2.75,2.6875,2.71875,1.486697,116000
3/12/1991,2.75,2.75,2.6875,2.6875,1.469609,163200
3/13/1991,2.671875,2.671875,2.59375,2.59375,1.418344,147200
3/14/1991,2.578125,2.59375,2.546875,2.5625,1.401255,184000
3/15/1991,2.546875,2.65625,2.546875,2.625,1.435432,289600
3/18/1991,2.640625,2.6875,2.625,2.6875,1.469609,136000
3/19/1991,2.65625,2.65625,2.609375,2.625,1.435432,172000
3/20/1991,2.625,2.65625,2.625,2.65625,1.452521,71200
3/21/1991,2.671875,2.734375,2.65625,2.734375,1.495242,327200
3/22/1991,2.734375,2.734375,2.703125,2.703125,1.478153,93600
3/25/1991,2.71875,2.71875,2.640625,2.703125,1.478153,115200
3/26/1991,2.671875,2.6875,2.625,2.65625,1.452521,447200
3/27/1991,2.640625,2.640625,2.578125,2.578125,1.409799,86400
3/28/1991,2.578125,2.59375,2.515625,2.515625,1.375623,70400
4/1/1991,2.53125,2.53125,2.453125,2.453125,1.341445,128000
4/2/1991,2.46875,2.46875,2.359375,2.375,1.298725,367200
4/3/1991,2.359375,2.4375,2.3125,2.3125,1.264547,1358400
4/4/1991,2.34375,2.40625,2.34375,2.40625,1.315813,1049600
4/5/1991,2.421875,2.484375,2.421875,2.484375,1.358534,73600
4/8/1991,2.46875,2.46875,2.4375,2.4375,1.332901,24000
4/9/1991,2.40625,2.4375,2.375,2.4375,1.332901,198400
4/10/1991,2.421875,2.421875,2.34375,2.390625,1.334646,198400
4/11/1991,2.40625,2.4375,2.359375,2.40625,1.34337,255200
4/12/1991,2.40625,2.46875,2.390625,2.46875,1.378262,398400
4/15/1991,2.5,2.5625,2.5,2.546875,1.421878,258400
4/16/1991,2.53125,2.640625,2.53125,2.625,1.465493,468000
4/17/1991,2.640625,2.640625,2.578125,2.578125,1.439324,662400
4/18/1991,2.609375,2.640625,2.609375,2.625,1.465493,68800
4/19/1991,2.609375,2.625,2.5625,2.578125,1.439324,20000
4/22/1991,2.578125,2.578125,2.484375,2.5,1.395708,263200
4/23/1991,2.484375,2.5,2.453125,2.5,1.395708,69600
4/24/1991,2.5,2.5,2.46875,2.5,1.395708,44800
4/25/1991,2.484375,2.484375,2.46875,2.46875,1.378262,70400
4/26/1991,2.453125,2.453125,2.421875,2.4375,1.360816,24000
4/29/1991,2.421875,2.421875,2.34375,2.34375,1.308476,373600
4/30/1991,2.375,2.375,2.328125,2.375,1.325923,1024800
5/1/1991,2.375,2.421875,2.34375,2.421875,1.352092,403200
5/2/1991,2.40625,2.40625,2.375,2.375,1.325923,714400
5/3/1991,2.40625,2.4375,2.359375,2.390625,1.334646,464000
5/6/1991,2.375,2.375,2.359375,2.359375,1.3172,11200
5/7/1991,2.375,2.375,2.28125,2.34375,1.308476,360800
5/8/1991,2.34375,2.453125,2.328125,2.4375,1.360816,567200
5/9/1991,2.453125,2.46875,2.40625,2.46875,1.378262,150400
